"8173996","immutable","(adj.) not subject or susceptible to change or variation","There are many things in life that are immutable; these unchangeable things include death, taxes, and the laws of physics."
"8173997","mendacious","(adj.) given to lying","A mendacious person is one who tells lies habitually and intentionally. 
He is using a dead man, whose family has pleaded to be left in peace, for a mendacious political attack."
"8173998","ameliorate","(v.) to make better","You could try introducing a second lollipop to ameliorate a battle between two toddlers over a single lollipop."
"8173999","contrite","(adj.) feeling or expressing pain or sorrow for sins or offenses","We are sorry to inform you that the adjective contrite means regretful, remorseful, or even guilty."
"8174000","effrontery","(n.) audacious behavior that you have no right to","When a couple stroll into a crowded restaurant, demand the best table, and threaten the staff unless they're seated right away, that's effrontery."
"8174001","impair","(v.) make worse or less effective","If you make bad decisions in the morning after drinking coffee, you might conclude that caffeine tends to impair your judgment."
"8174002","metamorphosis","(n.) striking change in appearance or character or circumstances","In Kafka's novel entitled Metamorphosis, a man wakes up to find he has turned into a cockroach."
"8174003","anachronism","(n.) something located at a time when it could not have existed","An anachronism is something that doesn't fit its time period, like if you say you'll ""dial"" your smartphone."
"8174004","conundrum","(n.) a difficult problem","The tricky word conundrum is used to describe a riddle or puzzle, sometimes including a play on words or pun."
"8174005","elegy","(n.) a mournful poem; a lament for the dead","An elegy is a sad poem, usually written to praise and express sorrow for someone who is dead. Although a speech at a funeral is a eulogy, you might later compose an elegy to someone you have loved and lost to the grave."
"8174006","impassive","(adj.) having or revealing little emotion or sensibility","Someone who doesn't seem to react — who is always ""taking a pass"" in the conversation of life can be described as impassive."
"8174007","meticulous","(adj.) marked by precise accordance with details","People who are meticulous can be pretty annoying, what with their extreme attention to detail. But if that person is, say, your surgeon or your accountant, you'll want them to be meticulous."
"8174008","analogous","(adj.) similar or equivalent in some respects","Upgrades are analogous to an improving credit score, typically allowing bonds to carry a lower interest rate."
"8174009","converge","(v.) be adjacent or come together","Use the verb converge to describe something that comes together at a common point: “Thousands of Elvis fans plan to converge on the small Arkansas town where unconfirmed sightings of the deceased superstar eating at a local barbeque restaurant had been widely reported.”"
"8174010","elicit","(v.) call forth, as an emotion, feeling, or response","A good comedian elicits a lot of laughs."
"8174011","impede","(v.) be a hindrance or obstacle to","To impede something is to delay or block its progress or movement. Carrying six heavy bags will impede your progress if you're trying to walk across town."
"8174012","misanthrope","(n.) someone who dislikes people in general","A misanthrope is a person who hates or mistrusts other people. Your great aunt Edna who lashes out at anyone who approaches, convinced they'll steal the jewelry she keeps in her handbag on her lap? A misanthrope indeed."
"8174013","anarchy","(n.) a state of lawlessness and disorder","Use the noun anarchy to describe a complete lack of government — or the chaotic state of affairs created by such an absence. A substitute teacher might worry that an unruly classroom will descend into anarchy.
"
"8174014","convoluted","(adj.) rolled longitudinally upon itself","If something is convoluted, it's intricate and hard to understand. You'll need to read over your brother's convoluted investment scheme a few times before deciding whether or not to go in on it."
"8174015","embellish","(v.) make more attractive, as by adding ornament or color","The word ""bell"" shows up in the middle of embellish, and bells are something that decorate, or embellish something, making it more attractive."
"8174016","impermeable","(adj.) preventing especially liquids to pass or diffuse through","If you have a waterproof raincoat, you could say that your coat is impermeable to the rain."
"8174017","mitigate","(v.) lessen or to try to lessen the seriousness or extent of","You can mitigate your parents' anger by telling them you were late to dinner because you were helping your elderly neighbor."
"8174018","anomalous","(adj.) deviating from the general or common order or type","Something anomalous can be good, such as an exciting new direction in music or art. But that anomalously low score on your math test? Not so good."
"8174019","craven","(n.) lacking even the rudiments of courage; abjectly fearful","Worse yet, Steve’s pretending not to know what he is doing, which is both disingenuous and craven."
"8174020","empirical","(adj.) derived from experiment and observation rather than theory","“But unfortunately, the empirical evidence is not very clear in terms of explaining any links between media exposure and violent crime.”"
"8174021","imperturbable","(adj.) marked by extreme calm and composure","If your goal is to be imperturbable, then you can't let things bother you or get you stressed, confused, or angry."
"8174022","mollify","(v.) cause to be more favorably inclined","Tsai’s administration may have used the request to mollify hardliners in her Democratic Progressive Party, Wu said."
"8174023","antipathy","(n.) a feeling of intense dislike","It found that men with antipathy toward gays had higher arousal levels than men who were accepting of gays."
"8174024","daunt","(v.) cause to lose courage","The Cowardly Lion in the Wizard of Oz appeared at first to be easily daunted, but, in fact, he showed unusual courage."
"8174025","emulate","(v.) strive to equal or match, especially by imitating","He is emulating the skating skills of his older sister."
"8174026","impervious","(adj.) not admitting of passage or capable of being affected","His steely personality made him impervious to jokes about his awful haircut."
"8174027","morose","(adj.) extremely gloomy and depressed","When someone is morose, they seem to have a cloud of sadness hanging over them."
"8174028","apathy","(n.) an absence of emotion or enthusiasm","You might feel apathy for the political process after watching candidates bicker tediously with one another."
"8174029","decorum","(n.) proper and polite behavior","If you let out a big belch at a fancy dinner party, you're not showing much decorum."
"8174030","endemic","(adj.) native to or confined to a certain region","The area suffers from endemic drug abuse and violent crime."
"8174031","implacable","(adj.) incapable of being appeased or pacified","If you really offended your best friend and tried every kind of apology but she refused to speak to you again, you could describe her as implacable."
"8174032","mundane","(adj.) found in the ordinary course of events","An ordinary, unexciting thing can be called mundane: ""Superman hid his heroic feats by posing as his mundane alter ego, Clark Kent."
"8174033","appease","(vt.) make peace with","Military has periodically tried to appease sentiment on Okinawa."
"8174034","default","(n.) an option that is selected automatically","You weren't sure why your new TV kept returning to the factory defaults until you realized you were sitting on the remote."
"8174035","enervate","(v.) weaken mentally or morally","A three-hour lecture on the history of socks might thrill someone, it would enervate most people."
"8174036","implicit","(adj.) suggested though not directly expressed","You might think you and your boyfriend might have an implicit understanding that you are going to get married, but it's probably better to talk it through."
"8174037","negate","(v.) make ineffective by counterbalancing the effect of","Hanging a disco ball from your living room ceiling negates the sleek modern effect created by the contemporary furniture."
"8174038","apprise","(v.) inform somebody of something","If someone in your immediate family wins the mega-bucks lottery, you want to be the first one to be apprised of that event!"
"8174039","deference","(n.) courteous regard for people's feelings","Sure you wear ripped jeans to school every day, but you don't wear them to your grandmother's house out of deference to her."
"8174040","engender","(v.) make children; to make happen","You engender the spirit of teamwork and cooperation by encouraging others and doing your share of the group's work."
"8174041","implode","(v.) burst inward","With extremely large buildings, it helps to implode them rather than explode them, because by falling inward they take up less space."
"8174042","neophyte","(n.) any new participant in some activity","While no longer a soccer neophyte, the United States knows it remains a distance from the top tier."
"8174043","approbation","(n.) official approval","A princess, for example, might only consider marrying a prince that is met with her father's, the King's, approbation."
"8174044","delineate","(v.) represented accurately or precisely","“It is essential that the lines between these genres are clear, well delineated and communicated to the audience,” says Leen."
"8174045","enhance","(v.) represented accurately or precisely","University officials contend that having a sizable number of minorities enrolled exposes students to varied perspectives and enhances the educational experience for all students."
"8174046","inadvertently","(adv.) without knowledge or intention","I inadvertently took someone else's coat from the coatroom because it looked just like mine."
"8174047","obdurate","(adj.) stubbornly persistent in wrongdoing","“Why do you wear that stuff?” she was asked, a question that has passed between many a caviling mother and obdurate teenage daughter."
"8174048","appropriate","(adj.) suitable for a particular person, place, or situation","A sweater-vest with reindeer on it is appropriate holiday apparel, even if it's totally embarrassing."
"8174049","denigrate","(vt.) charge falsely or with malicious intent","As we continue to urge our allies to do more, denigrating our closest partners as liabilities is a serious and tragic mistake,"
"8174050","ephemeral","(adj.) anything short-lived, as an insect that lives only for a day","Something that is fleeting or short-lived is ephemeral, like a fly that lives for one day or text messages flitting from cellphone to cellphone."
"8174051","inchoate","(adj.) only partly in existence; imperfectly formed","You can have an inchoate idea, like the earliest flickers of images for your masterpiece, or an inchoate feeling, like your inchoate sense of annoyance toward your sister's new talking parrot."
"8174052","obsequious","(adj.) attempting to win favor from influential people by flattery","In prison, Hitler, after jettisoning thoughts of suicide, once again took advantage of the obsequious behavior of his jailers."
"8174053","arduous","(adj.) characterized by effort to the point of exhaustion","Use the adjective, arduous, to describe an activity that takes a lot of effort."
"8174054","deride","(v.) treat or speak of with contempt","The verb deride means to show a low opinion of someone or something. The jerk would deride the other kids on the bus by calling them names or pulling their hair."
"8174055","equanimity","(n.) steadiness of mind under stress","If you take the news of your parakeet's death with equanimity, it means you take it calmly without breaking down."
"8174056","incongruity","(n.) the quality of disagreeing","The art show patrons couldn't help but chuckle at the incongruity of a toilet sitting in the middle of an exhibition of Renaissance paintings."
"8174057","obviate","(v.) do away with","If you want to obviate the possibility of a roach infestation, clean your kitchen regularly."
"8174058","artless","(adj.) simple and natural; without cunning or deceit","""I thought you knowed everything, father, "" said the artless boy."
"8174059","derivative","(n.) a financial instrument whose value is based on another security","Kirchner is facing criminal charges over the central bank’s alleged illegal trading of derivatives, while prosecutors also are exploring allegations of money laundering."
"8174060","equivocate","(v.) be deliberately ambiguous or unclear","When you are unwilling to make a decision and almost intentionally go back and forth between two choices, you are equivocating. When politicians equivocate, they are often afraid of upsetting, and thus alienating, voters with their decisions."
"8174061","inconsequential","(adj.) lacking worth or importance","He said in various other interviews that the missed votes were “not a big deal” and that many were “inconsequential.”"
"8174062","occlude","(v.) block passage through","Heart surgeons are looking for occlusions in blood vessels––things that occlude the flow of blood."
"8174063","ascetic","(adj.) someone who practices self denial as a spiritual discipline","Want to live an ascetic lifestyle? Then you better ditch the flat panel TV and fuzzy slippers. To be ascetic, you learn to live without; it's all about self-denial."
"8174064","desiccate","(v.) lacking vitality or spirit; lifeless","The verb desiccate means to dry out, dry up and dehydrate. It's helpful to desiccate weeds but certainly not crops."
"8174065","erudite","(adj.) having or showing profound knowledge","If you call someone erudite, that means they show great learning. After you've earned your second Ph.D., you will be truly erudite."
"8174066","incorporate","(v.) make into a whole or make part of a whole","The future tests are likely to incorporate surcharges on the biggest banks because of their systemic importance."
"8174067","officious","(adj.) intrusive in a meddling or offensive manner","Though officious sounds like official, it means being annoyingly eager to do more than is required. ""The officious lunch lady made everyone's food choices her business, and made nasty comments when students chose cookies over carrots."""
"8174068","assiduous","(adj.) marked by care and persistent effort","Such expertise comes not from luck but from thousands of hours of assiduous effort."
"8174069","desultory","(adj.) marked by lack of definite plan or regularity or purpose","The best news from this desultory referendum campaign is that Brown’s video has gone viral."
"8174070","esoteric","(adj.) understandable only by an enlightened inner circle","The quantum theory is not just an esoteric addendum."
"8174071","indeterminate","(adj.) not fixed or known in advance","When someone contracts a rare stomach parasite but has not been traveling internationally, you might say it had indeterminate origins."
"8174072","onerous","(adj.) very difficult to deal with or do; wearing","But if all of your teachers do it, that makes the task of completing your homework an onerous one, to say the least."
"8174073","assuage","(v.) provide physical relief, as from pain","Assuaging your hunger by eating a bag of marshmallows may cause you other unpleasant feelings."
"8174074","deterrent","(n.) something immaterial that interferes with action or progress","Let's say there's a giant pile of cookies being guarded by an angry dog — the dog is a deterrent."
"8174075","eulogy","(n.) a formal expression of praise for someone who has died","A year ago this month, President Obama was delivering a eulogy in Charleston, S.C., after the mass shooting in a church there."
"8174076","indigence","(n.) a state of extreme poverty or destitution","If you experience indigence, you have a critical need for food, money, and other resources."
"8174077","opprobrium","(n.) a state of extreme dishonor","If you throw a soft drink off the theater balcony, the opprobrium might keep you from getting dates to the movies."
"8174078","attenuate","(v.) become weaker, in strength, value, or magnitude","The effects of aging may be attenuated by exercise (or by drinking from the fountain of youth)."
"8174079","diatribe","(n.) thunderous verbal attack","
It's pretty overwhelming when you ask your friend a seemingly innocuous question, like ""Do you like hot dogs?"" and she unleashes a diatribe about the evils of eating meat. "
"8174080","euphemism","(n.) an inoffensive expression substituted for an offensive one","There’s a euphemism that many in the gaming community use to describe the sometimes intense emotions around gaming: “Passion.”"
"8174081","indolent","(adj.) disinclined to work or exertion","It can take an indolent teenager hours to get out of bed on a weekend morning. Often it's noon before he finally comes shuffling down to breakfast in his pajamas."
"8174082","oscillate","(v.) move or swing from side to side regularly","On a hot day, you’ll be happy to have a fan that can oscillate, meaning it moves back and forth in a steady motion."
"8174083","audacious","(adj.) disposed to venture or take risks","This adjective is very bold — if you are audacious, you are daring and unconventional!"
"8174084","dichotomy","(n.) being twofold","A dichotomy is an idea or classification split in two. When you point out a dichotomy, you draw a clear distinction between two things."
"8174085","exacerbate","(v.) make worse","If you're in trouble, complaining about it will only exacerbate the problem."
"8174086","inert","(adj.) unable to move or resist motion","In most cases, the final polyethylenes are inert and stubbornly resistant to breakdown."
"8174087","ostentatious","(adj.) intended to attract notice and impress others","The decor reflects the ostentatious style which was fashionable at the time, a mishmash of Neoclassicism and late Renaissance."
"8174088","austere","(adj.) of a stern or strict bearing or demeanor","In the evenings, as the sun set and the shooting let up, Nott taught his course on surgery in austere environments."
"8174089","diffidence","(n.) lack of self-confidence","Your diffidence might be the reason why you never say ""hi"" to the cute guy or gal in the elevator or why you never ask for a raise."
"8174090","exculpate","(v.) pronounce not guilty of criminal charges","If you've been wrongly accused of robbery, you'd better hope a judge will exculpate you, unless you want to go to jail because you've heard prison food is amazing."
"8174091","pate","(n.) liver or meat or fowl finely minced or ground and variously seasoned","Pate (the food!) is sometimes served with bread or crackers."
"8174092","ingenuous","(adj.) lacking in sophistication or worldliness","One of the things kindergarten teachers value is the chance to work with kids while they're still relatively ingenuous––their open, trusting natures are a joy."
"8174093","paragon","(adj.) a perfect embodiment of a concept","The downtown area is a paragon for urban renewal, the locals are proud and hospitable, and, most importantly, the city boasts a kick-ass beer scene."
"8174094","autonomous","(adj.) a perfect embodiment of a concept","Once you move out of your parents' house and get your own job, you will be an autonomous member of the family."
"8174095","diffuse","(adj.) spread out; not concentrated in one place","If lots of people in school believe invisible angels are everywhere, you could say that opinion is diffuse."
"8174096","exigency","(n.) a pressing or urgent situation","Many patients struggle in their role as women, something that has taken on a particular exigency because of drastic changes in gender dynamics."
"8174097","inherent","(adj.) existing as an essential constituent or characteristic","Anticipating how much our tastes will change is hard because we cannot see past our inherent resistance to the unfamiliar."
"8174098","partisan","(adj.) a fervent and even militant proponent of something","
If something is prejudicial towards a particular point of view, you can call it partisan. You'll often hear of the partisan politics in the U.S.— since politicians seem to be completely devoted to the agendas of their own parties."
"8174099","aver","(v.) to declare or affirm solemnly and formally as true","Ultimately, they aver, neuroscience can indeed change our minds — but social and political understanding of the issues must be factored in."
"8174100","digression","(n.) a turning aside","When your essay about French cooking starts describing a childhood trip to Disneyland, it's taken a digression — it's strayed from the main topic."
"8174101","extrapolation","(n.) an inference about the future based on known facts","His extrapolation of broad support among minorities appears to be based on one of two cases of violence by minorities against his protesters."
"8174102","innocuous","(adj.) not injurious to physical or mental health","Public figures like mayors and governors have to expect they'll get critical or even hurtful emails and phone calls, as well as more innocuous feedback."
"8174103","pathological","(adj.) relating to the study of diseases","There is a pathological gambling addiction so that no matter what he thought at the end of the day, he bet it all."
"8174104","banal","(adj.) repeated too often; overfamiliar through overuse","And his life is just one painfully banal blow after another."
"8174105","dirge","(n.) As you might imagine, a dirge is usually quite sad. Another word with a similar meaning that you might know is “requiem.”","Many cultures have linked weddings with death, often in the form of a bridal dirge about saying farewell to the family."
"8174106","facetious","(adj.) cleverly amusing in tone","Back in the 1920s, the writer Karel Capek said Cesko was “not musical”; for foreigners “it even sounds a little facetious.”"
"8174107","insensible","(adj.) barely able to be perceived","The adjective insensible is used to describe someone who is unconscious. If you keep your bowling ball on the top shelf of the closet and it rolls out and conks you on the head, you will be probably rendered insensible."
"8174108","paucity","(n.) an insufficient quantity or number","Given the relative paucity of hotels in the area, many England fans are expected to stay in Lille — a bigger city about 25 miles away."
"8174109","belie","(v.) be in contradiction with","If you are 93 but look like you are 53, then your young looks belie your age."
"8174110","disabuse","(v.) free somebody from an erroneous belief","Many teachers of health find that when they teach, they spend as much energy disabusing kids of false beliefs as they do giving them the facts."
"8174111","facilitate","(v.) make easier","If your best friend is very shy, you could facilitate her efforts to meet new people."
"8174112","insinuate","(v.) suggest in an indirect or covert way; give to understand","He insinuated that Muslim Americans, like Mexican Americans, were disloyal."
"8174113","pedantic","(adj.) marked by a narrow focus on or display of learning","Part of what keeps the sorority girls’ feminist teachings from ever feeling pedantic is that they’re not aimed, at least directly, at the audience."
"8174114","beneficent","(adj.) doing or producing good","If you're a beneficent person, you probably spend a lot of your time volunteering at soup kitchens or homeless shelters, helping people who are less fortunate than you are."
"8174115","discerning","(adj.) having or revealing keen insight and good judgment","Discerning people pick up on subtle traits and are good judges of quality — they're the ones that can tell if your cupcakes are homemade from the finest ingredients or totally from a box mix."
"8174116","fallacious","(adj.) containing or based on incorrect reasoning","Something fallacious is a mistake that comes from too little information or unsound sources.  Predictions that the whole state of California will snap off from the rest of North America and float away have proven to be fallacious — for now, anyway.
"
"8174117","insipid","(adj.) lacking in flavor or interest","Something insipid is lacking in flavor or interest."
"8174118","penchant","(n.) a strong liking","If you have a penchant for hot pot, you either eat it daily, or wish you did."
"8174119","bolster","(v.) support and strengthen","When you cheer up a friend who's feeling down, you bolster them."
"8174120","discordant","(adj.) not in agreement or harmony","If you believe that movies should entertain, but your friend insists that movies should inspire, then the two of you hold discordant views on the purpose of movies."
"8174121","fatuous","(adj.) devoid of intelligence","In response, the board majority and its industry overlords have offered some of the most fatuous defenses heard from a public body in years."
"8174122","insularity","(n.) the state of being isolated or detached","For centuries, Britain has been a sort of diluted Japan: an island on the edge of a great continental mass, proud of its insularity."
"8174123","penury","(n.) a state of extreme poverty or destitution","Economic downturns, job loss, shopping sprees, and weekends at the high rollers' table in Vegas can lead to penury."
"8174124","bombastic","(adj.) ostentatiously lofty in style","Apple’s political stand against Trump, communicated privately to Republicans, is a sign of the widening schism between Silicon Valley and the GOP’s bombastic presumptive nominee."
"8174125","discredit","(n.) the state of being held in low esteem","“your actions will bring discredit to your name”"
"8174126","fawning","(adj.) attempting to win favor by flattery","WoW is so popular that there are professional players who are treated like movie stars, complete with sponsorship deals with fawning groupies."
"8174127","intractable","(adj.) difficult to manage or mold","Can't manage your stubborn little brother who won't do what anyone says? You could call him intractable."
"8174128","perennial","(adj.) lasting three seasons or more","If you fight with your parents every year over whether they really must invite your annoying cousins for Thanksgiving, you could call that a perennial conflict."
"8174129","boorish","(adj.) ill-mannered and coarse in behavior or appearance","If your cousin tells revolting jokes, belches, and smells like he spent the winter in a cave, he could be described as boorish — an adjective used for people with bad manners and a sloppy appearance."
"8174130","discrepancy","(n.) a difference between conflicting facts or claims or opinions","If there is a discrepancy between the money you earned and the number on your paycheck, you should complain to your boss."
"8174131","felicitous","(adj.) exhibiting an agreeably appropriate manner or style","Felicitous words you write on your friend's birthday card are the ones that perfectly suit the occasion and make her happy when she reads them."
"8174132","intransigence","(n.) stubborn refusal to compromise or change","If you refuse to compromise with your sister about whose turn it is to do the dishes, your mother might accuse you both of intransigence."
"8174133","perfidious","(adj.) tending to betray","My view was that Pakistan was playing a perfidious and dangerous double game and needed to be called on it."
"8174134","burgeon","(n.) grow and flourish","If you have a green thumb, in the spring your flower gardens may burgeon. If you don't have a green thumb, your collection of plastic plants may burgeon."
"8174135","fervor","(n.) feelings of great warmth and intensity","Use fervor to describe an intensity of emotion or expression. Fans of the Los Angeles Dodgers show so much fervor that they ""bleed Dodger blue."""
"8174136","inundate","(v.) fill or cover completely, usually with water","Your bathroom could be inundated with water if the pipes burst, and hopefully your inbox is inundated with nice emails on your birthday."
"8174137","perfunctory","(adj.) hasty and without attention to detail; not thorough","If you give someone a gift and they look at it like it's roadkill and say nothing about it but a perfunctory ""thank you,"" you might not be giving them another one anytime soon."
"8174138","burnish","(v.) polish and make shine","The young man burnishes his Porsche until it seems to gleam with pride."
